V1,V2,V3
-5,45,-4584
-4.83253588516746,45,-4550
-4.66507177033493,45,-4513
-4.49760765550239,45,-4452
-4.33014354066986,45,-4323
-4.16267942583732,45,-4207
-3.99521531100478,45,-4100
-3.82775119617225,45,-3964
-3.66028708133971,45,-3673
-3.49282296650718,45,-3568
-3.32535885167464,45,-3421
-3.15789473684211,45,-3194
-2.99043062200957,45,-3115
-2.82296650717703,45,-3072
-2.6555023923445,45,-2989
-2.48803827751196,45,-2599
-2.32057416267943,45,-468
-2.15311004784689,45,-152
-1.98564593301435,45,-107
-1.81818181818182,45,-75
-1.65071770334928,45,-37
-1.48325358851675,45,-39
-1.31578947368421,45,-15
-1.14832535885167,45,21
-0.980861244019138,45,46
-0.813397129186603,45,40
-0.645933014354067,45,17
-0.47846889952153,45,40
-0.311004784688995,45,23
-0.143540669856459,45,42
0.0239234449760772,45,39
0.191387559808613,45,46
0.358851674641149,45,56
0.526315789473685,45,74
0.69377990430622,45,100
0.861244019138756,45,132
1.02870813397129,45,143
1.19617224880383,45,182
1.36363636363636,45,166
1.5311004784689,45,186
1.69856459330144,45,258
1.86602870813397,45,259
2.03349282296651,45,385
2.20095693779904,45,622
2.36842105263158,45,636
2.53588516746412,45,703
2.70334928229665,45,739
2.87081339712919,45,853
3.03827751196172,45,902
3.20574162679426,45,973
3.37320574162679,45,982
3.54066985645933,45,1207
3.70813397129187,45,988
3.8755980861244,45,1110
4.04306220095694,45,1011
4.21052631578947,45,1157
4.37799043062201,45,855
4.54545454545455,45,704
4.71291866028708,45,549
4.88038277511962,45,437
5.04784688995215,45,236
5.21531100478469,45,772
5.38277511961723,45,1039
5.55023923444976,45,1241
5.7177033492823,45,816
5.88516746411483,45,925
6.05263157894737,45,1366
6.22009569377991,45,1976
6.38755980861244,45,2636
6.55502392344498,45,2091
6.72248803827751,45,1782
6.88995215311005,45,2179
7.05741626794259,45,2239
7.22488038277512,45,1555
7.39234449760766,45,623
7.55980861244019,45,299
7.72727272727273,45,236
7.89473684210526,45,256
8.0622009569378,45,275
8.22966507177034,45,193
8.39712918660287,45,155
8.56459330143541,45,117
8.73205741626794,45,97
8.89952153110048,45,113
9.06698564593302,45,271
9.23444976076555,45,443
9.40191387559809,45,598
9.56937799043062,45,527
9.73684210526316,45,270
9.90430622009569,45,189
10.0717703349282,45,131
10.2392344497608,45,73
10.4066985645933,45,33
10.5741626794258,45,27
10.7416267942584,45,21
10.9090909090909,45,20
11.0765550239234,45,17
11.244019138756,45,12
11.4114832535885,45,8
11.5789473684211,45,8
11.7464114832536,45,3
