Sais;Zone;Mod;Prof;Atherine;BlennieDeRoux;Canthare;Castagnole;CrevetteBouquet;Girelle;Oblade;PageotAcarne;Poulpe;RougetDeRoche;Seiche;SerranChevrette;Sparaillon;Tacaud
1;Chaude;Z1;BuseTapis;11;0;0;0;0;0;0;0;0;0;0;0;1;4;0
2;Chaude;Z1;BuseTapis;11;0;0;0;0;0;0;0;0;2;0;0;0;0;0
3;Chaude;Z1;BuseTapis;11;0;0;0;0;0;0;0;0;1;0;0;1;3;0
4;Chaude;Z1;Proto;11;0;0;0;0;0;0;0;0;0;0;0;1;0;0
5;Chaude;Z2;BuseTapis;10;0;0;0;0;0;0;0;0;4;0;0;0;0;0
6;Chaude;Z2;BuseTapis;16;0;0;0;0;0;0;0;0;5;0;0;1;0;0
7;Chaude;Z2;BuseTapis;10;0;0;0;0;0;1;0;0;9;0;0;1;0;0
8;Chaude;Z2;Proto;14;0;0;0;0;0;0;0;0;5;0;1;4;0;0
9;Chaude;Z3;Panier;30;0;0;50;0;0;0;0;0;0;0;0;0;0;0
10;Chaude;Z3;Panier;30;0;0;0;0;0;0;0;0;0;0;0;2;0;100
11;Chaude;Z3;Panier;30;0;0;0;NA;0;0;0;0;0;0;0;0;0;150
12;Chaude;Z4;Panier;30;0;0;0;0;0;0;0;0;1;0;0;0;0;0
13;Chaude;Z4;Panier;30;0;0;0;0;0;0;0;0;1;0;0;0;0;0
14;Chaude;Z4;Panier;30;0;0;0;0;0;0;0;0;0;0;0;1;0;0
15;Froide;Z1;BuseTapis;11;0;0;0;0;0;0;0;0;0;0;0;0;28;0
16;Froide;Z1;BuseTapis;11;0;0;0;0;40;0;0;0;0;0;0;0;0;0
17;Froide;Z1;BuseTapis;11;150;3;0;0;0;0;0;0;0;0;0;0;0;0
18;Froide;Z1;Proto;11;150;0;0;0;25;0;0;0;0;0;0;1;0;0
19;Froide;Z2;BuseTapis;10;0;0;0;0;40;0;0;0;3;0;0;1;1;0
20;Froide;Z2;BuseTapis;16;0;0;0;0;11;0;0;0;0;0;0;11;0;0
21;Froide;Z2;BuseTapis;10;0;0;0;0;0;0;0;0;6;0;0;0;0;0
22;Froide;Z2;Proto;14;0;0;0;0;6;0;0;0;0;0;0;2;0;0
23;Froide;Z3;Panier;30;0;0;0;0;0;0;0;0;0;0;0;2;0;0
24;Froide;Z3;Panier;30;0;0;0;0;0;0;0;0;0;0;0;2;1;0
25;Froide;Z3;Panier;30;0;0;0;0;0;0;0;0;0;0;0;1;0;23
26;Froide;Z4;Panier;30;0;0;0;0;0;0;0;0;0;0;0;11;0;0
27;Froide;Z4;Panier;30;0;0;0;0;0;0;0;0;0;0;0;3;0;0
28;Froide;Z4;Panier;30;0;0;0;0;0;0;0;0;0;0;0;21;0;75
