especes;LON;LAT
Mobula mobular ;4.053783;43.313578
Mobula mobular ;12.560772;34.463186
Mobula mobular ;4.168311;43.263792
Mobula mobular ;6.788664;43.2928
Mobula mobular ;8.84528;41.66694
Mobula mobular ;8.152222;41.716667
Mobula mobular ;8.62833;42.43722
Mobula mobular ;6.85694;43.08861
Mobula mobular ;7.30139;43.55056
Mobula mobular ;7.3475;43.7025
Mobula mobular ;7.06753611;43.5456611
Mobula mobular ;3.166667;40.333333
Mobula mobular ;7.058103;43.511467
Mobula mobular ;6.121281;43.017489
Mobula mobular ;7.5;43.72722
Mobula mobular ;8.71083;41.85833
Mobula mobular ;6.55278;43.1275
Mobula mobular ;6.396744;42.977625
Mobula mobular ;5.32333;43.27972
Mobula mobular ;8.76917;42.59167
Mobula mobular ;5.5725;43.16194
Mobula mobular ;3.98056;43.51278
Mobula mobular ;5.536881;43.2059
Mobula mobular ;3.945244;43.475508
Mobula mobular ;5.686369;42.267503
Mobula mobular ;3.179728;42.652169
Mobula mobular ;8.647778;41.744444
Mobula mobular ;3.102392;39.985908
Mobula mobular ;6.45025;42.970475
Mobula mobular ;7.27283;43.66464
Mobula mobular ;7.33935;43.68038
Mobula mobular ;7.324342;41.726853
Mobula mobular ;8.735961;41.859222
Mobula mobular ;7.138889;43.602778
Mobula mobular ;8.735961;41.859222
Mobula mobular ;7.5273138;43.75651
Mobula mobular ;7.3775;43.7067
Mobula mobular ;7.21997;43.65177
Mobula mobular ;7.68167;43.87194
Mobula mobular ;6.98611;43.51833
Mobula mobular ;5.23408;43.1974
Mobula mobular ;5.87556;42.80306
Mobula mobular ;5.69261;43.14213
Mobula mobular ;5.616449;43.1640944
Mobula mobular ;7.34577;43.69408
Mobula mobular ;8.796586;41.69564
Mobula mobular ;6.9917;43.5196
Mobula mobular ;7.2842722;43.6912278
Mobula mobular ;3.53361;42.82056
Mobula mobular ;3.50278;42.40056
Mobula mobular ;7.5328777;43.7653194
Mobula mobular ;6.72655;43.3562528
Mobula mobular ;7;43.27583
Mobula mobular ;7.34410555;43.6925833
Mobula mobular ;8.545825;42.2657583
Mobula mobular ;3.34722;41.21556
Mobula mobular ;7.42519444;43.7280917
Mobula mobular ;8.64544;42.28223
Mobula mobular ;7.2333972;43.6714611
Mobula mobular ;6.18537;43.01815
Mobula mobular ;7.36113;43.70128
Mobula mobular ;7.2633972;43.69375
Mobula mobular ;3.4161888;42.6439944
Mobula mobular ;3.1491166;42.5154056
Mobula mobular ;7.434672;43.7348
Mobula mobular ;5.95;42.75
Mobula mobular ;5.95;42.76667
Mobula mobular ;5.96667;42.73333
Mobula mobular ;5.95;42.98333
Mobula mobular ;7.5096444;43.7784889
Mobula mobular ;7.518563;43.7798
Mobula mobular ;8.6896055;42.0358556
Mobula mobular ;7.4975388;43.7444833
Mobula mobular ;6.5452667;43.1462
Mobula mobular ;7.5252111;43.781563
Mobula mobular ;6.5335;42.7742667
Mobula mobular ;6.73831667;43.36175
Mobula mobular ;6.76244;43.741423
Mobula mobular ;8.54361;42.26806
Mobula mobular ;6.6856027;43.3037694
Mobula mobular ;5.6443388;43.13672
Mobula mobular ;8.10294;42.9373
Mobula mobular ;10.2261;41.47
Mobula mobular ;3.05966;40.608
Mobula mobular ;10.2261;41.64216
Mobula mobular ;8.29216;41.726
Mobula mobular ;7.72383;43.3231
Mobula mobular ;5.483666;42.8301
Mobula mobular ;3.870333;42.5268
Mobula mobular ;9.45033;42.696
Mobula mobular ;7.65;43.4
Mobula mobular ;7.1264;43.5376
Mobula mobular ;6.06027;43.053
Mobula mobular ;3.48682;42.4579
Mobula mobular ;6.43396;43.05324
Mobula mobular ;3.3375;42.678
Mobula mobular ;6.06722;43.002
Mobula mobular ;6.2103;43.0025
Mobula mobular ;6.3;43.146
Mobula mobular ;7.5;43.45
Mobula mobular ;3.046275;42.969541
Mobula mobular ;7.8911;43.6241
Mobula mobular ;8.7725;42.7488
Mobula mobular ;6.85682;43.4095
Mobula mobular ;7.3043918;43.6822518
Mobula mobular ;6.0249;43.0235
Mobula mobular ;7.1861;43.6044
Mobula mobular ;5.41423;43.1925
Mobula mobular ;6.01836;43.087
Mobula mobular ;6.89664;43.4254
Mobula mobular ;6.27861;42.999
Mobula mobular ;9.49388;42.8589
Mobula mobular ;7.68;43.5448
Mobula mobular ;9.40886;41.774
Mobula mobular ;8.75013;41.8396
Mobula mobular ;8.63916;42.4191
Mobula mobular ;8.22083;42.4511
Mobula mobular ;7.3119;43.4667
Mobula mobular ;7.89526;42.1105
Mobula mobular ;5.6985851;42.8102244
Mobula mobular ;5.666;42.94
Mobula mobular ;7.28228;42.8498
Mobula mobular ;6.00286;42.8093
Mobula mobular ;5.765;42.9202
Mobula mobular ;8.791719;41.886669
Mobula mobular ;1.21277;39.706249
Mobula mobular ;6.366054;43.049764
Mobula mobular ;6.556905;43.169657
Mobula mobular ;20.21595;39.10574
Mobula mobular ;6.14;42.59
Mobula mobular ;5.77984;42.9589
Mobula mobular ;5.77989;42.93753
Mobula mobular ;5.71544;42.85248
Mobula mobular ;5.75825;42.94065
Mobula mobular ;6.823537722;43.06043737
Mobula mobular ;6.253709374;42.63555132
Mobula mobular ;5.956682721;42.40109746
Mobula mobular ;7.347184047;43.12870827
Mobula mobular ;7.397527099;43.29668504
Mobula mobular ;6.040215343;42.7278621
Mobula mobular ;6.643649004;42.6396209
Mobula mobular ;6.786845606;42.69884944
Mobula mobular ;6.665788377;42.83151494
Mobula mobular ;7.328776466;43.1380416
Mobula mobular ;7.248849068;43.1137355
Mobula mobular ;7.189466385;43.06919667
Mobula mobular ;5.695809312;42.92136861
Mobula mobular ;5.93846214;42.95759829
Mobula mobular ;8.78145;42.57134
Mobula mobular ;11.111909;36.833534
Mobula mobular ;5.956682721;42.40109746
Mobula mobular ;6.823537722;43.06043737
Mobula mobular ;6.80183;42.63938
Mobula mobular ;8.48315109;41.84562976
Mobula mobular ;7.397527099;43.29668504
Mobula mobular ;7.347184047;43.12870827
Mobula mobular ;6.253709374;42.63555132
Mobula mobular ;6.060747653;42.80491987
Mobula mobular ;6.694785403;42.99158125
Mobula mobular ;6.8677158;42.9189529
Mobula mobular ;6.652319;42.542383
Mobula mobular ;6.135463854;42.73927247
Mobula mobular ;7.570336126;43.5367979
Mobula mobular ;7.256207792;43.06038436
Mobula mobular ;8.77333;41.9155
Mobula mobular ;7.30985;43.6807
Mobula mobular ;6.3832;43.1117
Mobula mobular ;6.1166;42.8825
Mobula mobular ;7.46557;42.81908
Mobula mobular ;6.393194;42.98818
Mobula mobular ;8.434397;42.027392
Mobula mobular ;6.672866;43.313084
Mobula mobular ;7.17777;42.6388
Mobula mobular ;6.2736;42.876
Mobula mobular ;8.00031;42.0647
Mobula mobular ;6.47813;43.1534
Mobula mobular ;8.6997;42.562
Mobula mobular ;7.295022;43.683542
Mobula mobular ;7.294593;43.685032
Mobula mobular ;6.202929;43.03253
Mobula mobular ;7.368782;43.698056
Mobula mobular ;8.683372;41.775445
Mobula mobular ;3.2435;42.3521
Mobula mobular ;7.22507;43.65276
Mobula mobular ;7.987208;43.2856
Mobula mobular ;7.722;43.2333
Mobula mobular ;10.085972;42.760954
Mobula mobular ;7.30111;43.6664
Mobula mobular ;7.0803;43.519669
Mobula mobular ;7.332872;43.665892
Mobula mobular ;3.5336;42.411
Mobula mobular ;6.616804032;42.57373433
Mobula mobular ;6.550512565;42.59743516
Mobula mobular ;6.50865485;42.52664488
Mobula mobular ;6.52773357;42.50933034
Mobula mobular ;6.300382409;42.87069485
Mobula mobular ;6.259736633;42.69173556
Mobula mobular ;5.93846214;42.95759829
Mobula mobular ;5.695809312;42.92136861
Mobula mobular ;7.189466385;43.06919667
Mobula mobular ;7.248849068;43.1137355
Mobula mobular ;7.328776466;43.1380416
Mobula mobular ;6.665788377;42.83151494
Mobula mobular ;6.300382409;42.87069485
Mobula mobular ;6.259736633;42.69173556
Mobula mobular ;6.50865485;42.52664488
Mobula mobular ;6.52773357;42.50933034
Mobula mobular ;6.786845606;42.69884944
Mobula mobular ;6.643649004;42.6396209
Mobula mobular ;6.040215343;42.7278621
Mobula mobular ;7.397527099;43.29668504
Mobula mobular ;7.347184047;43.12870827
Mobula mobular ;5.956682721;42.40109746
Mobula mobular ;6.823537722;43.06043737
Mobula mobular ;6.253709374;42.63555132
Mobula mobular ;7.570336126;43.5367979
Mobula mobular ;7.256207792;43.06038436
Mobula mobular ;6.060747653;42.80491987
Mobula mobular ;6.694785403;42.99158125
Mobula mobular ;6.8677158;42.9189529
Mobula mobular ;6.650019251;42.56794997
Mobula mobular ;6.135463854;42.73927247
Mobula mobular ;5.40492232;42.46448766
Mobula mobular ;7.233066782;43.04758607
Mobula mobular ;7.261014059;43.05251723
